brachiation,climb,climbSpeed,descent,energyExpenditure,feedingBudget,restingBudget,seed,sway,totalEnergyIntake,travelDistance,travellingBudget,walk
50.0,21.428571428571427,1.6,28.57142857142857,638.5640000005756,0.3194444444444445,99.53935185185185,-1105773135,0.0,765.0,58.255619959043514,0.1412037037037037,0.0
50.0,31.25,1.6,18.75,660.9150000005756,0.3194444444444445,99.5324074074074,-681224267,0.0,765.0,62.033067607012725,0.14814814814814814,0.0
50.0,10.0,1.6,40.0,611.6510000005756,0.3194444444444445,99.59722222222223,-1655029659,0.0,765.0,33.82158819673033,0.08333333333333334,0.0
50.0,37.5,1.6,12.5,614.7070000005756,0.3194444444444445,99.5949074074074,-1211499966,0.0,765.0,33.16423736191458,0.08564814814814815,0.0
50.0,10.0,1.6,40.0,647.1550000005756,0.3194444444444445,99.54861111111111,-1569774878,0.0,765.0,53.99472128548317,0.13194444444444445,0.0
50.0,20.0,1.6,30.0,615.8860000005756,0.3194444444444445,99.58101851851852,2014214216,0.0,765.0,41.15534635805791,0.09953703703703703,0.0
40.909090909090914,13.636363636363635,1.6,36.36363636363637,653.2970000005756,0.3194444444444445,99.47685185185186,1864349087,9.090909090909092,765.0,85.22950453166553,0.2037037037037037,0.0
50.0,10.0,1.6,40.0,611.2860000005755,0.3194444444444445,99.5949074074074,889924047,0.0,765.0,34.426894871275195,0.08564814814814815,0.0
50.0,28.57142857142857,1.6,21.428571428571427,632.3870000005757,0.3194444444444445,99.52546296296296,1074908704,0.0,765.0,62.9524751767558,0.1550925925925926,0.0
50.0,25.0,1.6,25.0,673.6160000005756,0.3194444444444445,99.42361111111111,-958108342,0.0,765.0,104.280785714985,0.2569444444444445,0.0
50.0,25.0,1.6,25.0,661.7610000005756,0.3194444444444445,99.45138888888889,1689894936,0.0,765.0,94.78195139633931,0.22916666666666666,0.0
50.0,20.0,1.6,30.0,623.8350000005756,0.3194444444444445,99.57870370370371,1218749702,0.0,765.0,41.26773142360234,0.10185185185185185,0.0
