"","x","y","dbh","canopy_radius","height","fruiting_jan","fruiting_feb","fruiting_mar","fruiting_apr","fruiting_may","fruiting_jun","fruiting_jul","fruiting_aug","fruiting_sep","fruiting_oct","fruiting_nov","fruiting_dec","genus","species","status"
"572",32,90,7.2,1.55,8,0,0,0,0,0,0,0,0,0,0,0,0,"Nephelium","maingayi","untouched"
"573",33,90,12.6,2.325,11,0,0,0,0,0,0,0,0,0,0,0,0,"Neoscortechinia","kingii","untouched"
"574",35,99,11.7,1.725,9,0,0,0,0,0,0,0,0,0,0,0,0,"Syzygium","havilandii","untouched"
"575",37,99,8.3,1.6,10.5,0,0,0,0,0,0,0,0,0,0,0,0,"Gonystylus","bancanus","untouched"
"576",38,99,6.2,1.075,7,0,0,0,0,0,0,0,0,0,0,0,0,"Mesua","sp. 1","untouched"
"577",39,98,10.5,5.75,12,1,0,0,0,0,0,0,0,0,0,1,1,"Madhuca","mottleyana","untouched"
"578",39,96,22.7,2.55,19,1,0,0,0,0,0,0,0,0,0,1,1,"Litsea","cf. grandis var. rufofusca (cf. rufo-fusca)","untouched"
"579",36,95,36.9,3.975,17,0,0,0,0,0,0,0,0,0,0,0,0,"Isonandra","lanceolata","untouched"
"580",38,90,16,2.875,17,0,0,0,0,0,0,0,0,0,0,0,0,"Xylopia","coriifolia","untouched"
"581",39,89,19,1.775,19,0,0,0,0,0,0,0,0,0,0,0,0,"Campnosperma","coriaceum","untouched"
"582",39,88,28.2,3.825,20,0,0,0,0,0,0,0,0,0,0,0,0,"Neoscortechinia","kingii","untouched"
"583",39,87,17.3,2.6,18.5,1,0,0,0,0,0,0,0,0,0,1,1,"Madhuca","mottleyana","untouched"
"584",39,85,23,2.575,17,0,0,0,0,0,0,0,0,0,0,0,0,"Shorea","teysmanniana","untouched"
"585",35,88,22.8,3.575,20,0,0,0,0,0,0,0,0,0,0,0,0,"Litsea","cf. elliptica","untouched"
"586",30,86,28.5,4.525,20,0,0,0,0,0,0,0,1,1,1,0,0,"Xylopia","fusca","untouched"
"587",30,84,8.1,0.75,4,0,0,0,0,0,0,0,0,0,0,0,0,"Horsfieldia","crassifolia","untouched"
"588",35,80,14.3,3.225,14,0,0,0,0,0,0,0,0,0,0,0,0,"Calophyllum","sclerophyllum","untouched"
"589",43,80,8.9,1.7,8,0,0,0,0,0,0,0,0,0,0,0,0,"Lithocarpus","conocarpus","untouched"
"590",43,82,21.8,2.825,14,0,0,0,0,0,0,0,0,0,0,0,0,"Elaeocarpus","mastersii","untouched"
"591",43,86,14,1.5,11,0,0,0,0,0,0,0,0,0,0,0,0,"Elaeocarpus","mastersii","untouched"
"592",43,87,10.6,2.85,11,0,0,0,0,0,0,0,0,0,0,0,0,"Litsea","sp. 1 cf. resinosa","untouched"
"593",42,90,14.8,2.5,11,0,0,0,0,0,0,0,0,0,0,0,0,"Nephelium","maingayi","untouched"
"594",43,93,19.4,2.825,15,0,0,0,0,0,0,0,0,0,0,0,0,"Syzygium","sp. 4","untouched"
"595",42,94,11.5,3.225,12,0,0,0,0,0,0,0,0,0,0,0,0,"Elaeocarpus","mastersii","untouched"
"596",43,94,14.8,1.825,15,0,0,0,0,0,0,0,0,0,0,0,0,"Drepananthus (Cyathocalyx)","biovulatus","untouched"
"597",40,96,13.6,2.2,15,0,0,0,0,0,0,0,0,0,0,0,0,"Palaquium","ridleyii","untouched"
"598",43,98,17,2.325,16.5,1,0,0,0,0,0,0,0,0,0,1,1,"Madhuca","mottleyana","untouched"
"599",41,98,16.4,3.1,14,0,0,0,0,0,0,0,0,0,0,0,0,"Mezzetia","parviflora (leptopoda)","untouched"
"600",43,99,9.1,2.025,9,0,0,0,0,0,1,1,1,0,1,0,0,"Syzygium","sp. 1 cf. garcinifolia","untouched"
"601",44,99,17.9,2.85,13,1,0,0,0,0,0,0,0,0,0,1,1,"Madhuca","mottleyana","untouched"
"602",49,98,21,4.375,19.2177866366156,0,0,0,0,0,0,0,0,0,0,0,0,"Calophyllum","hosei","untouched"
"603",49,99,8.9,3.55,10,0,0,0,0,0,0,0,0,0,0,0,0,"Lithocarpus","conocarpus","untouched"
"604",50,98,8.2,1.65,11,0,0,0,0,0,0,0,0,0,0,0,0,"Syzygium","havilandii","untouched"
"605",48,97,7.5,1.05,9,0,0,0,0,0,0,0,0,0,0,0,0,"Syzygium","sp. 4","untouched"
"606",49,95,17.8,1.975,15,0,0,0,0,0,0,0,0,0,0,0,0,"Lithocarpus","conocarpus","untouched"
"607",48,96,7.3,1.425,13,0,0,0,0,0,0,0,0,0,0,0,0,"Syzygium","sp. 4","untouched"
