,x,y,dbh,canopy_radius,height,fruiting_jan,fruiting_feb,fruiting_mar,fruiting_apr,fruiting_may,fruiting_jun,fruiting_jul,fruiting_aug,fruiting_sep,fruiting_oct,fruiting_nov,fruiting_dec,genus,species
200,75,37,8.1,1.1125,5.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
201,77,41,7.3,1.25,4,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
202,86,42,7.8,1.05,4,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
203,86,42,9.1,1.1375,6,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
204,87,49,6.3,0.675,3.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
205,90,47,6.2,0.8625,5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
206,90,41,8,0.9625,4.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
207,94,47,7.8,1.55,6,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
208,94,50,8.9,0.95,5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
209,94,42,6.3,0.5875,4,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
210,98,39,7.5,0.95,7,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
211,99,43,9.6,0.8,10,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
212,2,52,11,1.6875,5.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
213,6,55,6.3,1.05,4.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
214,6,55,8.4,0.925,6,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
215,10,52,10.2,2.125,7,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
216,11,54,9,1.2125,6,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
217,6,58,7.9,1.9625,3,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
218,8,58,10.7,1.175,7,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
219,2,61,8.7,0.95,8,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
220,3,62,8,1.0875,8,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
221,8,62,11,0.95,8.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
222,9,63,7.6,0.47,4,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
223,6,66,6.8,1.05,5.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
224,9,65,6.5,0.8,3.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
225,10,66,12.3,1.7625,9,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
226,11,65,7.7,1.1375,5.5,0,0,0,0,0,0,0,0,0,0,0,0,Shorea,balangeran
227,1,71,16,1.7375,9.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
228,13,53,9,1.25,8,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
229,16,56,10.5,1.675,8,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
230,15,59,7.9,1.6,4,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
231,14,59,10.7,1.35,6.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
232,14,63,12,1.075,9,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
233,16,63,11.1,1.125,8.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
234,22,52,14.8,2.7375,7.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
235,22,57,6,0.625,4,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
236,24,58,7.3,0.8875,4.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
237,24,63,12.8,1.8875,9,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
238,15,63,7.3,1.025,6,0,0,0,0,0,0,0,0,0,0,0,0,Shorea,balangeran
239,18,64,8.6,0.8625,8,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
240,16,65,7,1.0125,5.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
241,21,65,7.2,0.625,4.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
