"","x","y","dbh","canopy_radius","height","fruiting_jan","fruiting_feb","fruiting_mar","fruiting_apr","fruiting_may","fruiting_jun","fruiting_jul","fruiting_aug","fruiting_sep","fruiting_oct","fruiting_nov","fruiting_dec","genus","species"
"771",50.4,53.7,7.7,1.95,9.5,0,0,0,0,0,0,0,0,0,0,0,0,"Calophyllum","sclerophyllum"
"772",51.1,54,7.4,0.975,10,1,0,0,0,0,0,0,0,0,0,1,1,"Madhuca","mottleyana"
"773",51.3,54.5,18,2.325,17.5,0,0,0,0,0,0,0,0,0,0,0,0,"Mezzetia","parviflora (leptopoda)"
"774",51.1,55,10.7,1.75,8.5,0,0,0,0,0,0,0,0,0,0,0,0,"Tetractomia","tetrandra"
"775",55,54.5,12.9,2.425,15.5,1,0,0,0,0,0,0,0,0,0,1,1,"Madhuca","mottleyana"
"776",57,52.5,22.5,3.25,17.5,0,0,0,0,0,0,0,0,0,0,0,0,"Mezzetia","parviflora (leptopoda)"
"777",58,53,17,2.45,16,0,0,0,0,0,0,0,0,0,0,0,0,"Campnosperma","squamatum"
"778",58.2,52.5,16.2,2.825,15,0,0,0,0,0,0,0,0,0,0,0,0,"Isonandra","lanceolata"
"779",60,53.3,11.7,2.725,14.5,0,0,0,0,0,0,0,0,0,0,0,0,"Xerospermum","laevigatum / noronhianum"
"780",60,52.2,8.9,1.525,9,0,0,0,0,0,0,0,0,0,0,0,0,"Tetractomia","tetrandra"
"781",59.6,50.9,21.1,3.625,16,0,0,0,0,0,0,0,0,0,0,0,0,"Diospyros","areolata (bantamensis)"
"782",62.1,41,8.1,1.45,11,0,0,0,0,0,0,0,0,0,0,0,0,"Licania","splendens"
"783",61.9,45.1,7.6,0.975,10,0,0,0,0,0,0,0,0,0,0,0,0,"Gymnacranthera","farquhariania"
"784",60.8,45.1,7.8,2,8,1,0,0,0,0,0,0,0,0,1,1,0,"Garcinia","sp. 11"
"785",61.3,46,9.8,1.1875,9,0,0,0,0,0,0,0,0,0,0,0,0,"Mesua","sp. 1"
"786",61,45.7,19.3,3.225,11,0,0,0,0,0,0,0,0,0,0,0,0,"Nephelium","maingayi"
"787",61,45.7,19.3,3.225,11,0,0,0,0,0,0,0,0,0,0,0,0,"Nephelium","maingayi"
"788",62.6,46.5,13.7,2.175,17,0,0,0,0,0,0,0,0,0,0,0,0,"Tetractomia","tetrandra"
"789",62.55,47,11.4,1.825,16,0,0,0,0,0,0,0,0,0,0,0,0,"Gonystylus","bancanus"
"790",63.8,45.3,8.6,1.8,11,1,0,0,0,0,0,0,0,0,0,1,1,"Madhuca","mottleyana"
"791",63.9,45.8,8.8,1.475,11,0,0,0,0,0,0,0,0,0,0,0,0,"Dactylocladus","stenostachys"
"792",68.05,45.8,8.7,1.675,8,0,0,0,0,0,0,0,0,0,0,0,0,"Tetractomia","tetrandra"
"793",68.85,44,15.5,2.725,19.4146744285769,0,0,0,0,0,0,0,0,0,0,0,0,"Neoscortechinia","kingii"
"794",67.65,44.4,28.6,3.6,24.2624936185494,0,0,0,0,0,0,0,0,0,0,0,0,"Xylopia","cf. malayana"
"795",68.05,43.7,28.9,3.45,27.9081919502462,0,0,0,0,0,0,0,0,0,0,0,0,"Stemonurus","cf. scorpiodes"
"796",68.55,42.9,25.6,1.825,23.1899153852146,0,0,0,0,0,0,0,0,0,0,0,0,"Maasia (Polyalthia)","glauca"
"797",68.55,42.9,25.6,1.825,23.1899153852146,0,0,0,0,0,0,0,0,0,0,0,0,"Maasia (Polyalthia)","glauca"
"798",66.95,42.3,13.1,1.675,17,0,0,0,0,0,1,1,1,0,1,0,0,"Syzygium","sp. 1 cf. garcinifolia"
"799",65.75,41,25.7,2.1,18,1,1,1,1,1,1,1,1,0,1,1,1,"Diospyros","siamang"
"800",65.55,46.7,19.1,2.25,27.1227022407755,0,0,0,0,0,0,0,1,1,1,0,0,"Xylopia","fusca"
"801",63.69,47.3,30.1,2.65,26.7175060192935,0,0,0,0,0,0,0,0,0,0,0,0,"Shorea","teysmanniana"
"802",65.55,46.7,14.3,1.7125,19.8480867213344,0,0,0,0,0,0,0,1,1,1,0,0,"Xylopia","fusca"
"803",63.17,48,24.4,2.7825,21.875005490469,0,0,0,0,0,0,0,0,0,0,0,0,"Calophyllum","cf. hosei (cf. fragrans)"
"804",64,47.8,10.5,2.04,17,0,0,0,0,0,0,0,0,0,0,0,0,"Nephelium","maingayi"
"805",64,47.8,10.5,2.04,17,0,0,0,0,0,0,0,0,0,0,0,0,"Nephelium","maingayi"
"806",61.5,52.4,12.1,0.9,20.5537577737465,0,0,0,0,0,0,0,0,0,0,0,0,"Litsea","cf. grandis var. rufofusca (cf. rufo-fusca)"
"807",61,50.4,11.4,1.5875,19.9447418124245,0,0,0,0,0,0,0,0,0,0,0,0,"Litsea","cf. grandis var. rufofusca (cf. rufo-fusca)"
"808",61.3,59,11.4,1.7375,10,0,0,0,0,0,0,0,0,0,0,0,0,"Mesua","sp. 1"
"809",63.1,57.2,24.9,4.025,24.9061286620553,0,0,0,0,0,0,0,0,0,0,0,0,"Neoscortechinia","kingii"
"810",64.2,58.7,30.4,3.125,34.1202515151668,0,0,0,0,0,0,0,0,0,0,0,0,"Shorea","teysmanniana"
"811",64.6,59.2,8.6,2.225,7.5,0,0,0,0,0,0,0,0,0,0,0,0,"Tetractomia","tetrandra"
"812",70.35,59,11.4,0.9,9,0,0,0,0,0,0,0,0,0,0,0,0,"Syzygium","sp. 4"
"813",69,57,7.2,1.6425,7.5,0,0,0,0,0,0,0,0,0,0,0,0,"Tetractomia","tetrandra"
"814",67,56.9,9.2,1.525,15,0,0,0,0,0,0,0,0,0,0,0,0,"Tetractomia","tetrandra"
"815",67.6,55.7,16.3,2.825,20.1,0,0,0,0,0,0,0,0,0,0,0,0,"Nephelium","maingayi"
"816",67.6,55.7,16.3,2.825,20.1,0,0,0,0,0,0,0,0,0,0,0,0,"Nephelium","maingayi"
"817",69.6,56,29.3,3.1375,17,0,0,0,0,0,0,0,0,0,0,0,0,"Elaeocarpus","mastersii"
"818",69.6,56,29.3,3.1375,17,0,0,0,0,0,0,0,0,0,0,0,0,"Elaeocarpus","mastersii"
"819",68.9,54.55,9.4,3.1625,13,0,0,0,0,0,0,0,0,0,0,0,0,"Castanopsis","foxworthyii / jaherii"
"820",69.4,54.32,9.8,3.775,14,0,0,0,0,0,0,0,0,0,0,0,0,"Castanopsis","foxworthyii / jaherii"
"821",68.6,53.15,17.1,2.8075,20,0,0,0,0,0,0,0,0,0,0,0,0,"Tristaniopsis","sp. 4"
"822",67.5,51.45,15.4,2.9,21,0,0,1,1,0,0,0,0,0,0,0,0,"Combretocarpus","rotundatus"
"823",71.1,55.4,36.2,5.0375,34.5331660913082,0,0,0,0,0,0,0,0,0,0,0,0,"Diospyros","areolata (bantamensis)"
"824",73.5,54,24.1,6.4125,18,0,0,0,0,0,0,0,0,0,0,0,0,"Nephelium","maingayi"
"825",73.5,54,24.1,6.4125,18,0,0,0,0,0,0,0,0,0,0,0,0,"Nephelium","maingayi"
"826",72.8,54,8.6,1.05,10,0,0,0,0,0,0,0,0,0,0,0,0,"Tetractomia","tetrandra"
"827",76.8,55.4,14.6,2.075,19,0,0,0,0,0,0,0,0,0,0,0,0,"Vatica","mangachapoi"
"828",78.75,55.4,13.4,2.525,14,0,0,0,0,0,0,0,0,0,0,0,0,"Mesua","sp. 1"
"829",74.2,59.2,17.3,3.725,10,0,0,0,0,0,0,0,0,0,0,0,0,"Nephelium","maingayi"
"830",74.2,59.2,17.3,3.725,10,0,0,0,0,0,0,0,0,0,0,0,0,"Nephelium","maingayi"
"831",73.96,59.95,10.3,2.05,9,0,0,0,0,0,0,0,0,0,0,0,0,"Litsea","sp. 1 cf. resinosa"
"832",77.55,58.84,11.3,1.8875,15,0,0,0,0,0,0,0,0,0,0,0,0,"Palaquium","ridleyii"
"833",78.9,55,8.1,2.175,8,0,0,0,0,0,0,0,0,0,0,0,0,"Castanopsis","foxworthyii / jaherii"
"834",72.3,51.9,14.2,2.55,10,0,0,0,0,0,0,0,0,0,0,0,0,"Litsea","sp. 1 cf. resinosa"
"835",78.7,53.7,11.4,2.95,11,0,0,0,0,0,0,0,0,0,0,0,0,"Lithocarpus","sp. 1 cf. dasystachys"
"836",79.6,53.7,9.9,2.85,8,0,0,0,0,0,0,0,0,0,0,0,0,"Gymnacranthera","farquhariania"
"837",79.7,45.15,8.5,1.125,6,0,0,0,0,0,0,0,0,0,0,0,0,"Horsfieldia","crassifolia"
"838",79.1,43.5,6.9,1.775,8,0,0,0,0,0,0,0,0,0,0,0,0,"Tetractomia","tetrandra"
"839",79.75,42.4,13,1.225,11,0,0,0,0,0,0,0,0,0,0,0,0,"Tetractomia","tetrandra"
"840",79.3,42.1,9.8,1.7875,11,0,0,0,0,0,0,0,0,0,0,0,0,"Stemonurus","cf. scorpiodes"
"841",72.2,49.1,12.2,2.2,10,0,0,0,0,0,0,0,0,0,0,0,0,"Garcinia","sp. 1"
"842",73.4,48.6,16.4,3.15,13,0,0,0,0,0,0,0,0,0,0,0,0,"Stemonurus","cf. scorpiodes"
"843",70.3,42.1,10.2,2.3,8,0,0,0,0,0,1,1,1,0,1,0,0,"Syzygium","sp. 1 cf. garcinifolia"
