"","TreeID","x","y","DBH","crown","height","fruiting"
"1117",65981,31,3,18.5,0.900501812167744,3.54867,0
"1118",65983,31,4,31,1.26604740764534,5.94642,0
"1119",65988,31,5,40,1.49799665868193,7.6728,0
"1120",65990,31,6,100,2.74252913768925,19.182,0
"1121",65999,31,8,24.4,1.08100707356644,4.680408,0
"1122",65997,31,9,19.3,0.926017244590986,3.702126,0
"1123",65908,31,10,10.3,0.611820209910202,1.975746,0
"1124",65923,31,15,18.4,0.897286251837965,3.529488,0
"1125",65927,31,18,58,1.91431642717325,11.12556,0
"1126",66222,31,20,39,1.47317347632572,7.48098,0
"1127",66225,31,22,42,1.54701947891638,8.05644,0
"1128",66238,31,26,17.1,0.854926311425871,3.280122,0
"1129",66245,31,28,22.8,1.0336850838161,4.373496,0
"1130",66164,31,31,22.2,1.01565032896903,4.258404,0
"1131",66169,31,33,44,1.59525464135101,8.44008,0
"1132",66181,31,35,35,1.37162742381731,6.7137,0
"1133",66186,31,36,14.2,0.756243330763347,2.723844,0
"1134",66189,31,38,15.1,0.787546191428523,2.896482,0
"1135",66432,31,40,89,2.53950255885733,17.07198,0
"1136",66434,31,42,12.6,0.698869053790748,2.416932,0
"1137",66440,31,44,33,1.31938168371389,6.33006,1
"1138",66460,31,49,34,1.34563518906817,6.52188,0
"1139",66397,31,50,73,2.22814955718185,14.00286,0
"1140",66403,31,52,12.3,0.687841894494066,2.359386,0
"1141",66404,31,53,23.3,1.04859107821249,4.469406,0
"1142",66631,31,68,53,1.80373745802223,10.16646,0
"1143",66582,31,70,103,2.79655792117647,19.75746,0
"1144",66583,31,71,37,1.42286726604071,7.09734,0
"1145",66586,31,74,122,3.12715018061489,23.40204,0
"1146",66596,31,77,23.6,1.05748245924543,4.526952,0
"1147",66597,31,78,23.7,1.06043769916082,4.546134,0
"1148",66797,31,81,56,1.87048981690802,10.74192,0
"1149",66799,31,82,263,5.19184889783132,50.44866,0
"1150",66808,31,86,44,1.59525464135101,8.44008,0
"1151",66813,31,89,124,3.16089131064273,23.78568,0
"1152",66757,31,98,190,4.18917619521934,36.4458,0
"1153",65974,32,0,13.3,0.724258054024107,2.551206,0
"1154",65975,32,1,26.7,1.14722521247823,5.121594,0
"1155",65976,32,2,20.4,0.960521655862099,3.913128,0
"1156",65980,32,3,40,1.49799665868193,7.6728,0
"1157",66003,32,7,55,1.84837729642226,10.5501,0
"1158",66000,32,8,19.7,0.938639788163722,3.778854,0
"1159",65934,32,16,49,1.71269749766966,9.39918,0
"1160",65926,32,17,247,4.98116857454292,47.37954,0
"1161",65931,32,18,37,1.42286726604071,7.09734,0
"1162",65930,32,19,84,2.44441859720259,16.11288,0
"1163",66239,32,27,115,3.00754285931868,22.0593,0
"1164",66163,32,30,49,1.71269749766966,9.39918,0
"1165",66170,32,33,46,1.64274978602345,8.82372,1
"1166",66433,32,42,23.2,1.04561864891676,4.450224,0
"1167",66454,32,43,40,1.49799665868193,7.6728,0
"1168",66441,32,44,18.8,0.910113236907797,3.606216,0
"1169",66467,32,45,45,1.61909193495234,8.6319,0
"1170",66469,32,46,10.8,0.631263863523599,2.071656,0
"1171",66456,32,47,42,1.54701947891638,8.05644,0
"1172",66396,32,50,13.4,0.727847537993994,2.570388,0
"1173",66401,32,52,18.3,0.894064744184551,3.510306,0
"1174",66405,32,54,37,1.42286726604071,7.09734,0
"1175",66411,32,59,84,2.44441859720259,16.11288,0
"1176",66585,32,72,29.1,1.21428498009734,5.581962,0
"1177",66604,32,75,14.7,0.773714420496235,2.819754,0
"1178",66595,32,77,145,3.5047264957849,27.8139,0
"1179",66807,32,81,45,1.61909193495234,8.6319,0
"1180",66814,32,88,19.7,0.938639788163722,3.778854,0
