"","x","y","dbh","canopy_radius","height","fruiting_jan","fruiting_feb","fruiting_mar","fruiting_apr","fruiting_may","fruiting_jun","fruiting_jul","fruiting_aug","fruiting_sep","fruiting_oct","fruiting_nov","fruiting_dec","genus","species","status"
"222",81,33,14.4,2.0125,17,0,0,0,0,0,0,0,0,0,0,0,0,"Tetractomia","tetrandra","untouched"
"223",81,37,8.2,1.3125,7.5,0,0,0,0,0,0,0,0,0,0,0,0,"Gymnacranthera","farquhariania","untouched"
"224",82,34,7.5,1.65,11,0,0,0,0,0,0,0,0,0,0,0,0,"Syzygium","sp. 4","untouched"
"225",83,39,14.5,2.525,17,0,0,0,0,0,0,0,0,0,0,0,0,"Horsfieldia","crassifolia","untouched"
"226",86,39,14,2.825,16,0,0,0,0,0,0,0,0,0,0,0,0,"Horsfieldia","crassifolia","untouched"
"227",85,37,8.7,1.85,8,0,0,0,0,0,0,0,0,0,0,0,0,"Gonystylus","bancanus","untouched"
"228",86,34,15.3,2.5375,18,0,0,0,0,0,0,0,0,0,1,0,0,"Palaquium","pseudorostratum","untouched"
"229",88,20,14,2.5,10,0,0,0,0,0,0,0,0,0,1,0,0,"Litsea","sp. 1 cf. resinosa","untouched"
"230",89,21,13.5,2.4,13,0,0,0,0,0,0,0,0,0,0,0,0,"Palaquium","cochlearifolium","untouched"
"231",88,24,16.2,2.3875,13,0,0,0,0,0,0,0,0,0,0,0,0,"Ternstroemia","magnifica","untouched"
"232",90,25,8,1.6375,12,0,0,0,0,0,0,0,0,0,0,0,0,"Tetractomia","tetrandra","untouched"
"233",91,25,12.5,1.9875,13.5,0,0,0,0,0,0,0,0,0,0,0,0,"Santiria","cf. laevigata","untouched"
"234",92,20,31.1,3.85,7.3,0,0,0,0,0,0,0,0,0,0,0,0,"Koompassia","malaccensis","untouched"
"235",94,21,17.7,3.0875,18,0,0,0,0,0,0,0,0,0,0,0,0,"Myristica","lowiana","untouched"
"236",95,22,12.5,2.625,16,0,0,0,0,0,0,0,0,0,0,0,0,"Campnosperma","squamatum","untouched"
"237",96,24,7.6,1.3375,9,1,0,0,0,0,0,0,0,0,0,1,1,"Madhuca","mottleyana","untouched"
"238",97,24,9.6,1.5125,7.5,0,0,0,0,0,0,0,0,0,0,0,0,"Magnolia","bintulensis","untouched"
"239",99,23,8.1,1.6,9,0,0,0,0,0,0,0,0,0,0,0,0,"Tetractomia","tetrandra","untouched"
"240",98,27,18.7,3.4875,14,0,0,0,0,0,0,0,0,0,0,0,0,"Neoscortechinia","kingii","untouched"
"241",98,28,19.6,2.1625,16,0,0,0,0,0,0,0,0,0,0,0,0,"Shorea","teysmanniana","untouched"
"242",99,28,6.5,3.125,6,0,0,0,0,0,0,0,0,0,0,0,0,"Gymnacranthera","farquhariania","untouched"
"243",99,29,10,2.125,13,0,0,0,0,0,0,0,0,0,0,0,0,"Litsea","sp. 1 cf. resinosa","untouched"
"244",97,27,6.1,0.8125,8,0,0,0,0,0,0,0,0,0,0,0,0,"Litsea","sp. 1 cf. resinosa","untouched"
"245",96,29,9,1.25,10,0,0,0,0,0,0,1,1,1,0,0,0,"Baccaurea","bracteata","untouched"
"246",94,29,17.9,2.1625,18,0,0,0,0,0,0,0,0,0,1,0,0,"Palaquium","pseudorostratum","untouched"
"247",94,27,6,1.8,7.5,0,0,0,0,0,0,0,0,0,0,0,0,"Litsea","sp. 1 cf. resinosa","untouched"
"248",91,30,20.3,2.4375,18,0,0,0,0,0,0,0,0,0,0,0,0,"Vatica","mangachapoi","untouched"
"249",91,31,29.7,3.975,20,0,0,0,0,0,0,0,0,0,0,0,0,"Diospyros","areolata (bantamensis)","untouched"
"250",92,31,9.6,1.7625,9.5,0,0,0,0,0,0,0,0,0,0,0,0,"Gymnacranthera","farquhariania","untouched"
"251",93,32,9.3,1.1375,11,0,0,0,0,0,0,0,0,0,0,0,0,"Mesua","sp. 1","untouched"
"252",88,30,8.6,1.55,11,0,0,0,0,0,0,0,0,0,0,0,0,"Palaquium","cochlearifolium","untouched"
"253",88,32,10.4,2.225,12,0,0,0,0,0,0,0,0,0,0,0,0,"Gonystylus","bancanus","untouched"
"254",88,34,14,1.675,17,0,0,0,0,0,0,0,0,0,0,0,0,"Isonandra","lanceolata","untouched"
"255",87,35,38.9,4.45,18,0,0,0,0,0,0,0,0,0,0,0,0,"Palaquium","ridleyii","untouched"
"256",89,33,6.6,1.75,8,1,0,0,0,0,0,0,0,0,1,1,0,"Garcinia","sp. 11","untouched"
"257",3,40,13.8,1.8,12.5,0,0,0,0,0,0,0,0,0,0,0,0,"Palaquium","cochlearifolium","untouched"
