"","TreeID","x","y","DBH","crown","height","fruiting","species"
"881",66309,24,45,19.3,1.85203448918197,3.18731841853367,0,"Mallotus miquelianus"
"882",66308,24,46,49,3.42539499533931,6.06214338623986,0,"Brownlowia peltata"
"883",66306,24,48,58,3.8286328543465,6.81014289616826,0,"Beilschmiedia assamica"
"884",66356,24,50,18.4,1.79457250367593,3.0840059485239,0,"Mallotus miquelianus"
"885",66355,24,52,84,4.88883719440519,8.79313248296496,0,"Paranephelium xestophyllum"
"886",66371,24,57,278,10.7708706742957,20.0808373448616,0,"Diospyros curranii"
"887",66510,24,60,19.5,1.86467904172139,3.21007212967099,0,"Orophea myriantha"
"888",66509,24,64,18.3,1.7881294883691,3.07243116074963,0,"Beilschmiedia Unknown species 1"
"889",66526,24,65,39,2.94634695265143,5.17875645981544,0,"Barringtonia macrostachya"
"890",66525,24,66,26,2.25456964626247,3.91491664169315,0,"Chisocheton macranthus"
"891",66524,24,68,161,7.51080218993262,13.7752904179312,0,"Orophea myriantha"
"892",66522,24,69,145,7.0094529915698,12.8154786287227,0,"Alangium javanicum"
"893",66546,24,72,96,5.3392500433371,9.6417986971798,0,"Cinnamomum griffithii"
"894",66543,24,74,30,2.47788572745443,4.32120206482135,0,"Leea aculeata"
"895",66558,24,75,38,2.89626582536423,5.08676402116854,0,"Syzygium unknown<ca>mixed"
"896",66554,24,77,179,8.05497592077216,14.8203855044996,0,"Dillenia excelsa"
"897",66553,24,78,45,3.23818386990467,5.71620168588903,0,"Baccaurea tetrandra"
"898",66659,24,83,17.1,1.70985262285174,2.93196124433367,0,"Leea aculeata"
"899",66674,24,87,32,2.58571248101366,4.51798093785213,0,"Allophylus cobbe"
"900",66713,24,90,21.2,1.97043863499904,3.40065561613,0,"Unidentified unknown<ca>mixed"
"901",66712,24,92,17,1.70324661364148,2.92011977229333,0,"Syzygium unknown<ca>mixed"
"902",66725,24,98,124,6.32178262128547,11.5040794381282,0,"Ryparosa acuminata"
"903",65824,25,1,13.5,1.46285585152807,2.49069878812273,0,"Unidentified unknown<ca>mixed"
"904",65825,25,2,11.7,1.33101795743456,2.25651982684355,0,"Litsea ferruginea"
"905",65809,25,6,10.9,1.27023107954023,2.14889498708353,0,"Aglaia luzoniensis"
