"","x","y","dbh","crown","height","fruiting"
"2863",81,21,27,2.31143311201651,4.01820330428748,0
"2864",81,31,80,4.73391698156813,8.50203718729578,0
"2865",81,34,49,3.42539499533931,6.06214338623986,0
"2866",81,47,16.6,1.6766892664641,2.87253606448749,0
"2867",81,48,25.6,2.2316168049242,3.87325852340434,0
"2868",81,57,102,5.55721704892076,10.0536793010608,0
"2869",81,61,17.1,1.70985262285174,2.93196124433367,0
"2870",81,63,82,4.81169829946366,8.64813513664351,0
"2871",81,70,18.3,1.7881294883691,3.07243116074963,0
"2872",81,76,15.2,1.58196916467616,2.70310542952369,0
"2873",81,77,28.8,2.41201657548159,4.20118422162603,0
"2874",81,78,15.8,1.62291182043506,2.77628661438447,0
"2875",81,86,25.1,2.20275351141558,3.82090092779485,0
"2876",81,88,39,2.94634695265143,5.17875645981544,0
"2877",81,91,20.9,1.95199092780377,3.36737781697916,0
"2878",81,93,31,2.53209481529068,4.42008354300624,0
"2879",81,94,17.3,1.72302537802052,2.95558000854906,0
"2880",81,97,25.1,2.20275351141558,3.82090092779485,0
"2881",81,99,167,7.69438861284798,14.1274986436833,0
"2882",82,1,22.1,2.02525702219202,3.49962554570428,0
"2883",82,4,30,2.47788572745443,4.32120206482135,0
"2884",82,7,27.4,2.33397724452954,4.05918455610423,0
"2885",82,17,27,2.31143311201651,4.01820330428748,0
"2886",82,19,27.4,2.33397724452954,4.05918455610423,0
"2887",82,21,39,2.94634695265143,5.17875645981544,0
"2888",82,27,29.6,2.45603061081888,4.28136436329714,0
"2889",82,28,19.6,1.87098477356835,3.22142183787242,0
"2890",82,30,26,2.25456964626247,3.91491664169315,0
"2891",82,31,95,5.30247739240221,9.57238586569455,0
"2892",82,33,59,3.87207333243012,6.89094521586326,0
"2893",82,35,63,4.04339350079855,7.21001035257364,0
"2894",82,39,105,5.66456002810333,10.2567914591785,0
"2895",82,41,118,6.11819579036859,11.1170483432545,0
"2896",82,42,27,2.31143311201651,4.01820330428748,0
"2897",82,44,22.3,2.03733504471317,3.52144787826675,0
"2898",82,46,60,3.91526418153127,6.97132407104356,0
"2899",82,49,106,5.70010843037198,10.3240941452932,0
"2900",82,51,80,4.73391698156813,8.50203718729578,0
"2901",82,52,49,3.42539499533931,6.06214338623986,0
"2902",82,56,17.5,1.73614645616723,2.97911427680774,0
"2903",82,60,28.5,2.39540445901216,4.17093923294985,0
"2904",82,64,52,3.56240632204111,6.31587049412669,0
"2905",82,70,156,7.3560298173159,13.4786650805963,0
"2906",82,72,38,2.89626582536423,5.08676402116854,0
"2907",82,73,44,3.19050928270202,5.62824839219786,0
"2908",82,75,20.8,1.94582172125299,3.35625237455391,0
"2909",82,78,25,2.1969574806147,3.81039075828004,0
"2910",82,79,47,3.3324668067184,5.89031378906892,0
"2911",82,88,33,2.63876336742777,4.61493435396522,0
"2912",82,90,22.6,2.05538326367085,3.5540679941734,0
"2913",82,91,64,4.08563936120308,7.28878418368215,0
"2914",83,4,15,1.56820009931514,2.67851373637564,0
"2915",83,10,68,4.25242956024377,7.60014816517776,0
"2916",83,15,300,11.3261230123468,21.1643324556069,0
"2917",83,30,22,2.01920408135173,3.48869143448845,0
"2918",83,33,20.8,1.94582172125299,3.35625237455391,0
"2919",83,37,25,2.1969574806147,3.81039075828004,0
"2920",83,39,41,3.04521942537085,5.36057985950493,0
"2921",83,40,42,3.09403895783276,5.45045702285764,0
"2922",83,43,15.3,1.58883058128165,2.71536362843735,0
"2923",83,44,18,1.76872819714215,3.03758848436408,0
