"","x","y","dbh","crown","height","fruiting","genus","species"
"1140",30.1,96.8,6.7,1.625,7,0,"Maasia (Polyalthia)","hypoleuca"
"1141",33.7,95.4,7.3,0.95,12,0,"Isonandra","lanceolata"
"1142",32.5,92.1,13.3,1.675,13,0,"Syzygium","sp. 4"
"1143",32.7,91.9,66.2,5.95,28.4237881585548,0,"Diospyros","areolata (bantamensis)"
"1144",30.5,90.4,25.2,2.725,18,0,"Shorea","teysmanniana"
"1145",29.2,88.4,9,0.9,7,0,"Syzygium","sp. 4"
"1146",30.7,87.1,12,2.75,12,0,"Elaeocarpus","mastersii"
"1147",31.4,86.5,17,2.15,13,0,"Shorea","teysmanniana"
"1148",32.2,90.5,7.2,1.55,8,0,"Nephelium","maingayi"
"1149",32.2,91.5,6.4,1.4,8,0,"Palaquium","pseudorostratum"
"1150",32.6,91.2,13.9,1.975,12,0,"Syzygium","sp. 4"
"1151",33,90,12.6,2.325,11,0,"Neoscortechinia","kingii"
"1156",39.6,98.3,10.5,5.75,12,0,"Madhuca","mottleyana"
"1157",39.6,96.3,11.9,2,12,0,"Madhuca","mottleyana"
"1158",39.7,96,22.7,2.55,19,0,"Litsea","cf. grandis var. rufofusca (cf. rufo-fusca)"
"1159",36.4,95,36.9,3.975,17,0,"Isonandra","lanceolata"
"1160",38.4,90.1,16,2.875,17,0,"Xylopia","coriifolia"
"1161",39.6,89.5,19,1.775,19,0,"Campnosperma","coriaceum"
"1162",39.5,88.9,28.2,3.825,20,0,"Neoscortechinia","kingii"
"1163",39.2,87.7,17.3,2.6,18.5,0,"Madhuca","mottleyana"
"1164",39.4,85.6,23,2.575,17,0,"Shorea","teysmanniana"
"1166",30.8,86.1,28.5,4.525,20,0,"Xylopia","fusca"
"1167",30,84.1,8.1,0.75,4,0,"Horsfieldia","crassifolia"
"1168",35.1,80.8,14.3,3.225,14,0,"Calophyllum","sclerophyllum"
"1169",39.7,85.7,6.2,0.875,4,0,"Horsfieldia","crassifolia"
"1170",43,80.2,8.9,1.7,8,0,"Lithocarpus","conocarpus"
"1171",43.3,82.4,21.8,2.825,14,0,"Elaeocarpus","mastersii"
"1172",43.7,86.8,14,1.5,11,0,"Elaeocarpus","mastersii"
"1173",43,87.3,10.6,1.875,11,0,"Litsea","sp. 1 cf. resinosa"
"1174",42,90.7,14.8,2.225,11,0,"Nephelium","maingayi"
"1175",43.3,93.7,19.4,2.825,15,0,"Syzygium","sp. 4"
"1176",42.4,94,11.5,3.225,12,0,"Elaeocarpus","mastersii"
"1177",43.4,94.9,14.8,1.825,15,0,"Drepananthus (Cyathocalyx)","biovulatus"
"1178",40.4,96.5,13.6,2.2,15,0,"Palaquium","ridleyii"
"1179",43.9,98,17,1.925,16.5,0,"Madhuca","mottleyana"
"1180",41.5,98.3,16.4,3.1,14,0,"Mezzetia","parviflora (leptopoda)"
"1183",44,99,7.8,1.3,11,0,"Palaquium","ridleyii"
"1186",49.6,98.8,21,4.375,19.2177866366156,0,"Calophyllum","hosei"
"1188",50,98.1,8.2,1.65,11,0,"Syzygium","havilandii"
"1189",48.5,97.8,7.5,1.05,9,0,"Syzygium","sp. 4"
"1190",49.6,95.4,17.8,1.975,15,0,"Lithocarpus","conocarpus"
"1191",48.5,96,7.3,1.425,13,0,"Syzygium","sp. 4"
"1192",48.5,94.9,6,1.1,8,0,"Neoscortechinia","kingii"
"1193",51.2,92.9,10.4,1.5,15,0,"Syzygium","sp. 4"
"1194",51,92.5,7.8,0.75,7,0,"Diospyros","areolata (bantamensis)"
"1195",50,90.4,10.8,1.3,11,0,"Nephelium","lappaceum"
"1196",52,98.9,10.4,1.975,11,0,"Tetractomia","tetrandra"
"1197",51,97.6,7,0.875,7,0,"Tetractomia","tetrandra"
"1198",53.5,98.9,9.8,1.475,13,0,"Neoscortechinia","kingii"
"1199",53,97.4,11.3,1.2,15,0,"Isonandra","lanceolata"
"1200",53,97,7.8,1.35,11,0,"Nephelium","maingayi"
"1202",58.5,98.9,11.5,1.65,14,0,"Memecylon","sp. 3"
"1204",58,96,9.2,1.675,10,0,"Ternstroemia","magnifica"
"1206",54.4,94.5,13.4,1.625,14,0,"Palaquium","pseudorostratum"
"1207",53,94,12.6,1.95,14,0,"Palaquium","ridleyii"
"1208",59.2,95,16.1,2.55,26,0,"Palaquium","pseudorostratum"
"1209",59.2,95,8.5,1.775,8,0,"Calophyllum","hosei"
"1210",56.4,91.2,17.2,1.925,15,0,"Shorea","teysmanniana"
"1211",58,90,7.3,1.3,8,0,"Tetractomia","tetrandra"
"1212",57.7,88,16.5,1.975,16.5,0,"Campnosperma","coriaceum"
"1213",52,89,8,0.875,9,0,"Nephelium","maingayi"
"1214",52.9,88.8,13,1.925,16,0,"Syzygium","cf. valevenosum"
"1215",53.8,88.8,18,2,14,0,"Memecylon","sp. 1"
"1216",52.3,87,15.1,2.15,14,0,"Elaeocarpus","mastersii"
"1217",52,84.3,6.4,0.75,7,0,"Mezzetia","parviflora (leptopoda)"
"1218",52.6,86.2,8.6,1.725,9,0,"Tetractomia","tetrandra"
"1219",52.9,85.5,12,2,14,0,"Tristaniopsis","sp. 2"
"1220",53.5,86,13,1.425,15,0,"Dyera","polyphylla (lowii)"
"1221",54.5,86,11.2,2.15,12,0,"Elaeocarpus","mastersii"
"1222",55,85.3,18,2.15,16,0,"Madhuca","mottleyana"
"1223",58.5,85.5,9.5,1.5,12,0,"Syzygium","sp. 4"
"1224",59.5,85.3,16.4,2.7,14,0,"Nephelium","maingayi"
"1225",59.7,85.6,16.2,2.325,13,0,"Syzygium","sp. 4"
"1226",57.4,84.5,6.8,1.025,9,0,"Parartocarpus","venenosus"
"1227",58.6,83.7,16.2,2,13,0,"Syzygium","sp. 4"
"1228",57.6,83.3,12.6,1.825,13,0,"Sandoricum","beccanarium"
"1229",56.8,83.1,14.3,2.4,13,0,"Myristica","lowiana"
"1230",57.5,81,6.1,1.275,8,0,"Syzygium","sp. 4"
"1231",54.5,81.5,10.6,1.35,12,0,"Madhuca","mottleyana"
"1232",54.8,81.3,11.1,1.925,11,0,"Nephelium","maingayi"
"1233",53.4,82.2,6.2,1.525,10,0,"Maasia (Polyalthia)","hypoleuca"
"1234",53.4,83.1,20.4,3.125,14,0,"Elaeocarpus","mastersii"
"1235",62.1,81.9,13,1.65,14,0,"Syzygium","sp. 5 cf. zeylanicum"
"1236",63.9,82.3,6.6,1.925,9,0,"Tetractomia","tetrandra"
"1237",61.2,84,14.3,3.35,9,0,"Tetramerista","glabra"
"1238",63.7,83.6,6.6,1.7,8,0,"Stemonurus","cf. scorpiodes"
"1239",61.9,84.9,14.9,2.975,12,0,"Nephelium","lappaceum"
"1240",61.8,85.7,6.7,2.025,7,0,"Tetractomia","tetrandra"
"1241",62.3,85.8,14.9,2.125,14,0,"Shorea","teysmanniana"
"1242",65.2,84.9,9.5,1.625,10,0,"Calophyllum","hosei"
"1243",65.3,85.4,21.9,3.15,16,0,"Litsea","cf. grandis var. rufofusca (cf. rufo-fusca)"
"1244",66.6,85.4,12,2.2,10,0,"Ilex","hypoglauca"
"1245",65.8,84.6,17.2,2.85,16,0,"Mezzetia","parviflora (leptopoda)"
"1246",67.6,84.6,7.6,1.7,9,0,"Mesua","sp. 1"
"1247",68,82.4,10.2,1.25,14,0,"Gymnacranthera","farquhariania"
"1248",67.5,82.3,13,1.875,11,0,"Calophyllum","sclerophyllum"
"1249",65.8,80.1,6.5,1.575,8,0,"Litsea","sp. 1 cf. resinosa"
"1250",65.3,88.2,10.6,1.625,11,0,"Diospyros","sp. 1"
"1251",63.3,87.8,6,0.85,8,0,"Ternstroemia","magnifica"
"1252",65.4,88.4,18.5,2.6,16,0,"Tristaniopsis","sp. 4"
"1253",67.4,92.9,12.8,2.225,10,0,"Tetractomia","tetrandra"
"1254",66.8,93.1,6.6,1.125,7,0,"Ilex","hypoglauca"
"1255",65.3,93.8,6.2,1.6,8,0,"Syzygium","havilandii"
"1256",67.5,96.7,11.8,2.5,13,0,"Santiria","sp. 1"
"1257",68,98,20.9,4.325,14,0,"Litsea","sp. 1 cf. resinosa"
"1258",70.4,97.4,37.2,4.4,31.1,0,"Diospyros","areolata (bantamensis)"
"1259",71.9,97.6,15.6,3.7,15,0,"Elaeocarpus","mastersii"
"1260",72.6,90.1,36.3,3.075,23.5,0,"Diospyros","areolata (bantamensis)"
"1261",70.6,88.9,10.7,1.575,14,0,"Madhuca","mottleyana"
"1262",72.6,97.1,27,3.975,22.477490779432,0,"Litsea","cf. grandis var. rufofusca (cf. rufo-fusca)"
"1263",74.4,95.7,24,3.375,25.110091154425,0,"Xylopia","coriifolia"
"1264",71.9,96.4,24.7,3.675,24.2802223207354,0,"Shorea","teysmanniana"
"1265",72.6,94.6,26.6,3.7,20.8758835373666,0,"Campnosperma","coriaceum"
"1266",76.6,98,7.7,1.175,9,0,"Vatica","mangachapoi"
"1267",74,95,7.6,1.1,9,0,"Isonandra","lanceolata"
"1268",75.7,93.8,6,1.1,7,0,"Xerospermum","laevigatum / noronhianum"
"1269",74.8,92.9,7.7,2.25,7,0,"Diospyros","sp. 1"
"1270",72.5,93.2,10.7,1.9,9,0,"Shorea","teysmanniana"
"1271",72,90.8,13.8,2.15,9,0,"Elaeocarpus","mastersii"
"1272",71.3,90.4,13.1,2.875,14,0,"Lithocarpus","conocarpus"
"1273",70.9,88.5,7.4,1.575,9,0,"Tristaniopsis","sp. 2"
"1274",75.7,88.8,7,1.125,8,0,"Lithocarpus","conocarpus"
"1276",73.4,88.2,13.2,2.1,16,0,"Palaquium","ridleyii"
"1277",74.2,88.3,19.1,2.575,17,0,"Palaquium","ridleyii"
"1278",75.4,88.1,8.1,1.575,8,0,"Nephelium","lappaceum"
"1279",76.9,87.3,18.2,4.1,14,0,"Mezzetia","parviflora (leptopoda)"
"1280",76,84.2,7.8,1.5,8,0,"Tetractomia","tetrandra"
"1281",77.5,84.2,11.3,1.625,15,0,"Xerospermum","laevigatum / noronhianum"
"1282",77.6,84.1,18.1,1.825,16,0,"Neoscortechinia","kingii"
"1283",76.5,83,15,2.5,14,0,"Litsea","sp. 1 cf. resinosa"
"1284",76.4,82.8,16.3,1.75,11,0,"Shorea","teysmanniana"
"1285",76.4,81.2,7,1.5,7,0,"Tetractomia","tetrandra"
"1286",74.8,81,18.1,2.4,16,0,"Palaquium","cochlearifolium"
"1287",74.9,80.7,14.7,2.325,16,0,"Litsea","cf. grandis var. rufofusca (cf. rufo-fusca)"
"1288",74.2,81,8.4,1.8,11,0,"Gonystylus","bancanus"
"1289",73.6,81.4,6,1.125,7,0,"Madhuca","mottleyana"
"1290",73.2,81.3,15.7,2.55,16,0,"Nephelium","lappaceum"
"1291",73,83.8,8.4,1.4,9,0,"Calophyllum","hosei"
"1292",84.5,80.5,31.8,4.025,23.8674547778763,0,"Xylopia","fusca"
"1293",83.9,81.7,7.2,1.35,10,0,"Syzygium","sp. 4"
"1294",82.7,84.2,7.3,1.575,7,0,"Tetractomia","tetrandra"
"1295",84.4,85.6,6.8,1.325,7,0,"Tetractomia","tetrandra"
"1296",86.5,84.7,10.4,2.3,8,0,"Lithocarpus","conocarpus"
"1297",87.9,87.4,8.9,1.8,8,0,"Calophyllum","sclerophyllum"
"1298",88.2,81.1,14.2,2.275,14,0,"Shorea","teysmanniana"
"1299",88.2,81.3,15.6,2.15,14,0,"Calophyllum","hosei"
"1300",82.6,88.9,33.8,2.925,22.7975250764976,0,"Shorea","teysmanniana"
"1301",89,90,37.5,3.075,22.477490779432,0,"Madhuca","mottleyana"
"1302",82.3,81.6,13,2.15,13,0,"Syzygium","sp. 1 cf. garcinifolia"
"1303",81.4,88.6,9.6,1.425,13,0,"Koompassia","malaccensis"
"1304",80.1,90.4,23.4,4,16,0,"Litsea","sp. 1 cf. resinosa"
"1305",81,92.3,7.3,1.425,7,0,"Stemonurus","cf. scorpiodes"
"1306",82.9,93.9,10.8,2.9,11,0,"Maasia (Polyalthia)","hypoleuca"
"1307",80.6,94.2,28,2.425,18,0,"Dyera","polyphylla (lowii)"
"1308",80.3,97.5,7.5,1.075,6,0,"Stemonurus","cf. scorpiodes"
"1309",84.7,99,20.3,2.45,15,0,"Campnosperma","coriaceum"
"1310",85,97,7.5,1.25,9,0,"Madhuca","mottleyana"
"1311",85.2,98.5,12.5,3.2,9,0,"Garcinia","bancana"
"1312",89.5,98.6,21.4,2.525,17,0,"Palaquium","ridleyii"
"1313",92.3,97.8,10.6,2.225,10,0,"Memecylon","sp. 1"
"1314",90.8,98.5,18.5,2.05,17,0,"Calophyllum","hosei"
"1315",90.1,97.1,6.8,0.8,7,0,"Mezzetia","umbellata"
"1316",95,93,11.5,1.4,12,0,"Horsfieldia","crassifolia"
"1317",91.8,96.7,6.8,1.425,8,0,"Gonystylus","bancanus"
"1318",95.4,97.9,7,0.95,6,0,"Ardisia","sp. 2"
"1319",94.4,97.9,9.1,1.35,10,0,"Neoscortechinia","kingii"
"1320",94.4,95.9,17.7,2.2,14,0,"Shorea","teysmanniana"
"1321",95,95.9,8.1,1.2,8,0,"Neoscortechinia","kingii"
"1322",98,97.9,20.9,2.75,14,0,"Litsea","cf. elliptica"
"1324",94.5,93.8,7.5,1.875,8,0,"Litsea","sp. 1 cf. resinosa"
"1325",94.5,93.9,18.5,2.375,18,0,"Palaquium","ridleyii"
"1326",93.8,93.7,15.9,2.05,13,0,"Maasia (Polyalthia)","glauca"
"1328",98.9,92.7,24,2.275,15,0,"Santiria","sp. 1"
"1329",97.9,91.7,8,1.425,9,0,"Syzygium","sp. 5 cf. zeylanicum"
"1330",97.4,84.8,15.6,3.175,13,0,"Elaeocarpus","mastersii"
"1331",96.1,85.2,6.6,1.475,8,0,"Stemonurus","cf. scorpiodes"
"1332",94.4,87.5,18.5,3.825,15,0,"Litsea","sp. 1 cf. resinosa"
"1333",93.5,87.6,28,4.525,21.3388211354566,0,"Campnosperma","coriaceum"
"1334",94.1,80.4,11.6,1.6,12,0,"Syzygium","sp. 4"
"1335",92.3,86.9,7.8,1.425,8,0,"Garcinia","bancana"
"1336",95.7,80.5,11,1.8,8,0,"Syzygium","sp. 5 cf. zeylanicum"
